正在获取歌曲心如止水的第1页评论,总共有5262页105225条评论！
热门评论1: 痞子福克斯 : 这歌也太好听辽   点赞次数: 229628
热门评论2: 躲山 : 无人撩动我心波 从你之后 心如死水   点赞次数: 156929
热门评论3: Xy_kiyo : 我没想过我真的会喜欢上一个才认识了三天的人，我没想过会因为这个认识三天的人走出那个爱了七年的阴影，可我总觉得我这次又走入了一个巨大深渊。   点赞次数: 110611
热门评论4: 败裙 : 心如止水 再无心动   点赞次数: 77521
热门评论5: 你缺席了太多我曾经需要你的时候 : “我于昨晚去世，走时心如止水，我于今早重生，来时心怀暖阳。”   点赞次数: 70512
热门评论6: 是白敬亭最爱的小仙女 : 我曾经啊因为你躺在床上一个人哭到天亮，半夜想你想到睡不着，为你三番五次放下尊严，被你伤到不想再喜欢你的时候只要有那么一点希望，就还是想着再给你一次机会吧。但是每一次在我以为你也还喜欢我的时候，你总能猝不及防的打击到我。多可惜，我死心的瞬间和我只给过你的那些温柔。[心碎]   点赞次数: 59349
热门评论7: 不敢亲 : 心如止水鉴常明 见尽人间万物情   点赞次数: 47219
热门评论8: 宠溺95439 : 我与春风皆过客 你携秋水揽星河   点赞次数: 46059
热门评论9: 江衿子 : 你要安靜地優秀，悄無聲息地堅強。   点赞次数: 27364
热门评论10: 捧椰 : 星星眨眼的频率像我见到你时心跳的呼吸   点赞次数: 24536
热门评论11: 任易安 : 需不需要 一个拥抱   点赞次数: 17894
热门评论12: 三千世界鸦杀尽与尔共寝到天明 : 洪水与海洋都无法浇熄我的热情   点赞次数: 15310
热门评论13: 南京春野 : 等雨雨会来，等你你不在   点赞次数: 13748
热门评论14: 小福没有猫 : 怎么办 我竟像个小孩子一样憧憬未来有你的日子了 这种无时无刻怕被抛弃的感觉 有点难过 ​​​   点赞次数: 13649
热门评论15: 小池弟弟 : 希望你不要陷得太深，即使他很爱你……不然他走的时候，你会很痛很痛……   点赞次数: 10084
回复：Xy_kiyo : 我没想过我真的会喜欢上一个才认识了三天的人，我没想过会因为这个认识三天的人走出那个爱了七年的阴影，可我总觉得我这次又走入了一个巨大深渊。
